feature_path,emotion,gender,mask_emotion,mask_gender
features/03-01-05-01-02-01-16.npy,4,0,1,1
features/03-01-06-01-02-02-16.npy,5,0,1,1
features/03-01-06-02-01-02-16.npy,5,0,1,1
features/03-01-05-02-01-01-16.npy,4,0,1,1
features/03-01-07-01-01-01-16.npy,6,0,1,1
features/03-01-04-01-01-02-16.npy,3,0,1,1
features/03-01-04-02-02-02-16.npy,3,0,1,1
features/03-01-07-02-02-01-16.npy,6,0,1,1
features/03-01-08-02-02-01-16.npy,7,0,1,1
features/03-01-08-01-01-01-16.npy,7,0,1,1
features/03-01-03-02-02-02-16.npy,2,0,1,1
features/03-01-03-01-01-02-16.npy,2,0,1,1
features/03-01-02-02-01-01-16.npy,1,0,1,1
features/03-01-01-01-02-02-16.npy,0,0,1,1
features/03-01-02-01-02-01-16.npy,1,0,1,1
features/03-01-03-02-01-01-16.npy,2,0,1,1
features/03-01-03-01-02-01-16.npy,2,0,1,1
features/03-01-02-02-02-02-16.npy,1,0,1,1
features/03-01-02-01-01-02-16.npy,1,0,1,1
features/03-01-01-01-01-01-16.npy,0,0,1,1
features/03-01-06-01-01-01-16.npy,5,0,1,1
features/03-01-05-01-01-02-16.npy,4,0,1,1
features/03-01-05-02-02-02-16.npy,4,0,1,1
features/03-01-06-02-02-01-16.npy,5,0,1,1
features/03-01-04-01-02-01-16.npy,3,0,1,1
features/03-01-07-01-02-02-16.npy,6,0,1,1
features/03-01-07-02-01-02-16.npy,6,0,1,1
features/03-01-04-02-01-01-16.npy,3,0,1,1
features/03-01-08-02-01-02-16.npy,7,0,1,1
features/03-01-08-01-02-02-16.npy,7,0,1,1
features/03-01-02-01-02-02-16.npy,1,0,1,1
features/03-01-01-01-02-01-16.npy,0,0,1,1
features/03-01-02-02-01-02-16.npy,1,0,1,1
features/03-01-03-01-01-01-16.npy,2,0,1,1
features/03-01-03-02-02-01-16.npy,2,0,1,1
features/03-01-07-02-02-02-16.npy,6,0,1,1
features/03-01-04-02-02-01-16.npy,3,0,1,1
features/03-01-04-01-01-01-16.npy,3,0,1,1
features/03-01-07-01-01-02-16.npy,6,0,1,1
features/03-01-05-02-01-02-16.npy,4,0,1,1
features/03-01-06-02-01-01-16.npy,5,0,1,1
features/03-01-06-01-02-01-16.npy,5,0,1,1
